30000 30000
27829 26922 25394
29574 3982 15230
8109 27014 3480
17290 4284 593
29741 6227 26203
8337 28474 28582
18926 13978 23447
12378 18948 21947
5985 20013 6345
3899 2698 4243
4263 28611 29656
8456 23640 11527
24419 11725 28168
11703 26868 23417
3442 27773 18774
10288 150 28889
7116 27349 10675
16235 9903 28972
20815 4717 22581
29997 11785 6537
12032 21536 9366
1899 13763 21622
13032 14416 4959
22935 7652 11682
20892 26230 1714
13518 18005 5890
18509 5968 27023
22564 26399 1191
8587 15113 9462
24428 4368 15259
24362 10044 14178
21209 3034 148
17794 8903 29751
6665 25045 20089
18282 10262 16485
2396 7759 604
2173 10791 13265
19435 22474 22313
27163 16872 206
1604 27257 11555
20363 25379 9435
17595 3657 20709
15570 1463 12471
24532 10356 6654
19913 29551 26211
17310 14304 29108
28920 21028 129
20374 25281 1564
22480 431 5266
19366 25574 10595
3019 24526 6715
9284 16464 18119
17977 28015 18875
2056 14540 14357
4629 27260 25022
891 13488 1771
14718 16861 12372
14818 11141 26817
26034 1034 25583
29419 13623 11671
3836 20017 16137
1339 16653 1122
12671 19034 15365
2161 19840 15583
23508 8057 17878
20924 18696 22703
13338 14345 28148
10470 6439 28037
19008 29438 14433
27102 14222 14058
8416 24876 23133
6199 26039 10412
27108 27424 15941
16435 24818 21682
17472 6189 9482
8222 1096 26388
6432 9268 7776
5659 11643 24725
21178 2704 5706
17840 19690 26198
19978 22859 22825
13147 16248 7148
27504 28510 3369
28146 11500 22356
16463 4000 12905
3816 14674 25412
7350 11737 24732
1772 342 10881
18398 7243 13855
24926 2732 12892
29480 4481 19936
6359 11035 12023
25872 24112 22304
2876 628 18223
13648 10449 4417
24380 11436 25211
10870 7447 3345
16790 443 18670
25342 19625 9075
18264 23073 24777
28836 8575 3172
7441 10176 9295
28416 1098 17518
692 1120 29004
7285 25643 23357
22659 2459 27602
101 7723 1238
8190 25495 17881
22172 28748 19823
9881 15057 14559
19453 376 7209
16517 10415 5522
14207 12866 2705
21052 6888 19184
4096 19082 23664
19490 10122 24158
12490 10488 15686
17067 8898 5358
12148 18167 13994
29089 16506 18020
13034 21343 3475
29877 3891 19532
16272 29980 869
5621 502 4308
373 29461 5829
14348 16433 15209
16812 24434 12601
10023 14662 6768
16028 26015 6442
3593 19902 49
2825 27834 16491
26249 6000 3792
23103 27657 17706
18553 15285 28025
2521 7857 333
7388 3659 4945
9413 16496 2476
25708 5551 11430
6577 195 20703
13096 4965 21988
17736 19314 20758
26850 3596 763
4189 10724 28910
28691 18420 27020
20003 17717 949
17913 3492 1023
19250 3296 3081
9499 21870 2498
9932 23720 1513
2502 11495 24959
29797 7177 10104
14492 19283 14707
27927 2415 26675
17385 23454 1262
11966 25309 4980
12348 27886 20014
7410 5758 7108
21688 20603 8122
5557 11381 26324
16020 7401 21780
9533 29154 21486
1652 22545 9692
6991 10686 20388
24212 21079 25607
1614 16824 10605
9017 4068 14404
14955 19613 24719
19229 1347 27930
5125 19773 12610
17055 18915 21532
25238 12547 28471
19604 20100 11084
2796 27246 2477
11109 5783 25879
18935 29902 942
27518 12286 16159
14586 14278 11577
28254 3391 15572
16549 8434 14764
23998 12738 20906
4460 11317 19658
16107 14218 17748
21683 5506 26874
14905 18421 25685
26496 4761 13312
665 20803 2270
6772 10527 5329
28368 22639 1388
9964 19284 18796
10136 6027 4531
19 23537 19040
12254 16278 13325
8467 12706 14380
20654 25227 10094
1349 5363 5936
23120 17730 15667
16835 28381 10692
2200 25691 27152
11077 16433 6049
17314 15479 26457
1207 13324 1017
29950 19910 15225
16654 17441 9410
15555 16861 22266
22986 22772 16562
4657 22643 2883
29738 16121 26271
7343 12764 29121
28974 5788 16529
21969 4078 19089
14083 29343 24026
6766 22543 27558
17440 590 10606
26026 26160 7801
3875 22327 21696
14995 12860 1639
5075 4687 19823
20495 7236 4798
12946 5124 13395
11344 14739 2550
16044 1733 17510
3698 3178 4641
19984 13576 6079
18103 27989 28797
20150 28385 6924
5143 24871 2691
12269 17632 15146
1209 23162 22530
9704 4951 15101
24032 14828 8675
15687 4016 1280
9108 7680 17089
12083 10963 2749
12494 9849 139
16768 12977 24360
22173 26258 27015
2650 7225 11189
14545 23803 12797
7614 26132 5453
26103 28098 9893
29845 1253 17112
2987 29408 16155
24463 5729 3096
28896 12186 18689
17279 27071 9610
19309 25891 3940
9873 24689 23823
2614 21625 28342
3466 25197 22340
27581 29782 26145
16666 17060 20446
2367 28394 12377
10720 11696 28569
5819 14873 5100
3537 19292 2719
9642 29233 26379
5034 27435 17088
637 11204 20497
17291 9394 547
26625 20465 23540
23630 28737 16912
21584 15406 7674
18916 4783 25559
588 9602 29408
18931 5801 17470
16641 25634 2832
1529 26057 21607
22646 7117 9104
21270 3248 19827
7916 5 26332
26182 9657 23874
20786 2816 19106
24198 7966 27733
14760 4277 14010
25072 26756 24691
26253 4939 21124
29866 4006 21276
28621 22634 27493
25480 25337 25966
24004 846 28152
7681 18765 8787
951 902 12069
21496 15875 26901
27398 26139 13498
3507 12904 6803
11843 3498 27256
9773 22045 26333
7613 23891 9806
11779 1094 11228
28381 12150 8362
16533 3130 14462
7300 17851 6943
22973 18883 19244
11174 27706 880
24978 252 21898
15699 29120 21942
21560 26338 4003
17713 1663 9680
2719 6837 5464
29547 6620 22585
16128 5150 28089
3927 18249 11148
18823 28440 7434
11900 1485 13316
19903 7758 23035
127 6779 2693
675 28522 22297
866 26443 228
27403 20641 17528
25862 17931 26567
22730 8699 16473
13252 16214 6580
5522 14016 10299
14702 28253 16465
12455 26435 19750
17077 21483 13388
7405 4718 17051
28813 783 3216
3928 18510 5587
11907 10772 51
8121 7145 29656
20716 23251 2412
27667 15923 29304
16550 1438 29816
27917 6494 3414
18242 2934 819
15956 14617 16603
15884 4979 12595
14720 15707 5678
13627 24680 2806
27113 233 23166
4383 20741 4445
8194 4788 6750
5511 13857 2317
3247 14994 25540
13536 3756 1592
15095 17178 12782
23212 17158 19312
4199 21058 11766
14561 29925 8482
20005 26843 16897
20987 24162 5277
25211 25344 24915
26885 23601 636
6932 10345 18132
9780 7881 7464
17266 29626 18789
18863 8469 15290
6634 19278 22251
9835 6860 7327
29728 9934 23269
7884 15722 16658
25961 29499 28994
7374 22960 16953
19665 6046 8147
16322 25197 13752
19972 8713 1367
21931 17230 19043
20498 28183 11068
19503 6963 23978
20572 9975 131
25065 2511 15799
24448 12758 22644
15125 11653 7804
28221 29935 12713
15078 16779 3165
12613 3642 28667
23042 23144 19335
6204 16047 17386
132 28036 11764
1863 9811 22586
11058 17083 4229
21543 15172 11884
16117 28216 20217
18023 7327 2870
28958 29943 2200
3494 15607 27152
4543 5613 21581
2408 21784 16249
23614 20568 27872
19983 7519 16860
7855 5876 12609
3499 5539 24468
10536 9018 443
19525 21623 13551
1340 15905 21982
11661 13898 13245
8351 8557 13126
14162 23275 2454
25621 8707 23021
2706 8345 20972
26923 10838 10284
13533 25516 25825
1456 29104 5510
12250 4240 22417
22750 23854 17137
16748 19210 24887
14300 27971 23195
23291 27738 16756
9362 11060 12565
2425 18573 28289
8723 12445 29239
6316 8655 25160
23112 4937 2327
8224 27801 25270
2480 27513 13098
17935 15039 10603
12233 754 23206
24901 2853 28700
17764 1011 17882
4465 29331 11292
9294 23942 21309
13154 9226 17385
29664 25793 28304
493 12779 15993
23252 29487 8261
663 14239 17149
2441 7188 10691
9446 28334 20656
27807 11888 16565
22210 25576 10178
6136 22293 24060
25060 26020 17771
16494 13553 11413
11819 12933 22560
19438 22975 5938
18612 7592 4607
5642 21075 26707
1086 2921 18574
11559 17860 24008
27480 27346 8810
16866 9112 1741
8350 8634 19597
24296 1754 7854
14881 6779 27760
25112 8589 3264
27490 23478 17430
26047 6276 18607
26303 7874 28279
1731 18433 9806
20221 11141 25773
7054 4676 6486
27659 22368 184
20588 29207 5330
22915 2472 17664
24554 9880 4026
9859 20779 15162
18074 27032 14222
1236 24659 2196
117 12839 18285
26091 17108 11019
5958 27657 15333
14663 23277 7504
24812 12697 10871
29668 18849 29817
11367 23328 12796
13439 23117 10266
16892 26645 8230
15412 95 26598
18165 26135 29968
24443 20642 3013
27502 7223 28216
4780 4386 13564
10613 24900 12325
11990 3210 6265
15231 28962 12912
6658 21875 1894
15670 14938 11420
8680 25829 21564
153 13286 16752
28245 23026 11880
7762 23476 26542
301 2894 18750
21541 2518 22548
6360 8241 26322
3893 18750 11500
21570 14909 17443
4018 23233 8509
5700 4405 9537
2917 10397 10189
14484 28351 19403
27835 11366 6388
5931 5502 6286
3302 28866 9649
10639 1600 12304
6683 4805 29215
4091 26128 29662
29297 6968 9902
28914 4155 24832
27136 693 27452
2073 10399 14605
20785 10189 24997
7042 9848 22308
1004 22257 14927
837 29987 2635
8694 11855 22373
15477 24015 7710
19342 692 22989
12001 29337 8354
11422 26033 177
1926 8943 10368
4106 9490 6498
13159 24037 11861
28197 18630 24877
20185 18923 24926
12304 12314 292
26530 20442 19567
17573 19405 8150
28172 27623 12320
24248 6827 18050
28724 9497 26245
26096 5860 6081
19776 25900 16652
24050 2149 2458
12490 13814 22181
24455 24390 12138
21010 23077 17047
29470 19577 5928
14435 17008 7674
7637 5402 19788
28630 9449 6119
16349 21232 22691
23671 16410 10127
2363 20147 17406
6358 6976 10981
7305 4558 13600
7704 27177 26834
19718 5598 29702
26230 21276 15826
19506 2767 9119
2372 10354 5994
4208 11246 27082
10681 18140 1174
20598 6017 13930
14236 13832 20770
21157 7500 8016
7480 3051 22405
6401 12503 3387
77 16959 25192
13366 2031 14332
29722 6569 5963
20479 1633 28812
5294 8320 3145
21857 25119 3362
13464 28191 22705
12132 22676 25118
24663 16664 11552
6226 11818 14431
4235 14058 4234
3157 26344 9383
1714 20896 3614
24446 17206 453
5000 17110 29719
2289 24318 140
6397 19005 1583
13196 27130 20529
5651 16269 5870
3556 29199 13245
18010 21891 12367
6746 7049 29678
8049 23308 16177
8027 11881 16622
406 25164 18847
14012 11878 19535
10403 19053 4642
13391 10941 11551
23745 29398 17968
187 6035 2446
10686 24031 22980
15743 29950 9754
10478 22172 16574
19211 17091 1281
16398 15806 28894
14589 22461 17644
24841 24986 12917
14762 3396 22959
11987 5366 25109
24807 26099 17394
1433 22155 26565
18828 24447 23799
22617 2086 15756
19973 18730 11466
8263 4402 14399
20189 17480 28163
4805 2926 3299
10136 3613 23317
28825 25081 8851
9876 4164 28474
29712 3169 20328
13173 5163 23559
3919 17235 2196
15789 11312 1246
11619 21851 17409
12274 4689 22269
16991 5763 23415
13489 13041 9869
24401 6735 18876
13143 26677 14014
7539 19242 4795
4461 28435 14381
16369 14052 17920
2210 23379 24443
3681 26400 4087
13763 12337 28647
16322 21552 10313
24577 19221 5623
2983 3534 14523
24208 28475 22032
7761 22463 25838
19065 12 17660
24757 11240 23657
20794 17794 21755
4415 13968 16045
18934 24175 18939
922 29348 23297
8393 26863 350
11862 10401 4197
14979 18234 15793
3552 8401 15866
29901 29501 3390
26997 20020 15641
2879 19965 14545
25074 24547 23462
15987 13010 16959
28278 7696 10642
261 844 20210
16152 17051 28221
13492 29454 18037
26108 22825 27256
22744 1235 21362
8969 24069 15499
5415 26599 11536
19914 20717 8607
22943 1436 5260
23074 3333 28930
19660 24357 10353
20267 5232 3214
19944 26400 1595
14785 14947 25764
25228 8897 28689
14731 27803 21954
382 24422 21508
6829 1552 14315
545 10042 4145
1296 14760 3419
7736 25743 2216
19131 3451 14111
18422 8018 17663
29173 28 3585
23477 839 13818
1297 28226 26086
29566 13934 19194
12609 22692 18638
10355 24616 29262
28752 341 8014
25831 10194 23834
22335 17344 1694
22796 24802 6997
10970 10917 17037
3838 14989 9699
20183 17803 18678
12007 28221 20249
29625 24716 3533
19179 22821 21135
12314 3444 15855
23984 24248 9733
18440 29780 11682
22751 9488 12940
17116 8304 14424
8573 22890 18735
28399 12156 21202
28385 27120 24909
11912 16450 23764
2973 19748 16687
7049 25922 24846
413 26644 2914
19097 14261 26584
12704 24382 25845
3075 8291 18226
10060 24781 3000
1224 3741 6170
9849 17522 9531
11650 13949 6722
15801 10899 5994
3448 17227 21122
24271 5135 22869
12666 15820 21014
18571 26576 24005
17682 27362 10105
29442 24882 2266
14129 11913 27973
2277 15656 21858
20363 15235 17979
18383 18447 16876
4847 21753 252
26836 25371 25486
25551 12654 16714
26742 27893 17564
19174 8679 14527
25973 2845 16858
22068 20405 17021
12865 25538 22399
2449 5147 1098
6222 27824 15103
16920 27395 1784
15284 19278 2047
29077 9750 10734
6792 9881 6201
16261 8753 26281
27093 11261 9308
20535 19569 16160
6442 4931 19588
29942 19872 6638
12018 13597 24843
5110 19929 27313
13872 7730 11759
10819 18090 19937
6417 28174 11513
14903 18720 27780
4505 6058 13635
25991 3960 29927
24527 1572 11378
15110 24650 7138
29380 29342 16780
9293 10248 11975
27464 21517 24804
13735 22848 18605
18191 21505 15205
24680 17085 11374
26645 27623 26910
27165 9540 28682
2063 3013 21256
11812 20042 18880
25485 3569 27838
20255 22550 2796
6684 10849 28327
24946 9788 8684
4660 28939 6215
26842 24287 15153
5971 14733 8246
15850 21761 41
10238 19011 6088
12446 570 2517
10491 27743 27864
16005 21606 24965
6912 7044 29952
14907 3031 1942
13006 17259 18248
10634 26384 25593
17099 16645 6339
4670 13612 16448
27771 15827 4931
24419 20931 28760
3664 25636 21070
28582 16453 873
2122 2298 2015
3941 5790 315
21267 20031 19870
12924 4099 13678
521 22854 24865
27956 28239 25607
19041 8797 19285
3011 23200 27142
17726 6398 26992
11434 1198 17420
5027 28778 16794
25390 9675 7632
26129 25916 21457
8978 17539 26220
5466 17385 1179
2263 15167 7717
25 120 18418
6119 4213 954
28065 21198 9192
28703 10434 10971
7299 20202 26494
25495 25074 2704
10269 28871 24583
24046 524 29239
28638 10404 21269
7884 21660 27280
22264 28490 3601
2762 8250 12612
4172 18439 15544
109 2801 21536
22375 9877 2135
4355 6221 26682
11401 16869 10725
27352 9657 2252
24040 9793 18388
1544 29756 24142
953 13600 24175
11181 2026 7051
2993 20346 13942
28318 5789 9767
15155 20024 23809
4960 13218 3208
1859 20128 12486
19369 7338 7048
19081 22288 26137
9024 23792 15964
21080 10860 24818
2336 7325 1538
24215 29503 13455
23986 6587 6870
6541 4935 13512
5146 25557 1095
17712 5339 23798
15795 1991 29885
8216 21105 6100
11796 29439 3242
25029 13457 8914
15851 4550 5535
25652 5204 19607
12639 15138 25779
718 23589 16522
7447 22530 246
12217 13332 20709
19756 20366 4576
8336 3958 19632
5261 19978 29580
4993 22207 14862
27707 24325 9252
9180 1242 28047
11324 10941 15271
15047 21209 6658
19933 24906 19516
17847 17653 26527
26470 20523 9215
2460 27111 20919
24313 4920 19563
3184 15473 26653
3782 5346 8763
21308 23221 5689
24663 28721 1566
1480 9203 4717
3077 22514 15261
23472 3940 3460
12140 5897 12471
396 1394 19060
25225 13010 7335
17336 15538 29406
24780 2073 23320
16991 10374 5326
17021 15345 18256
16541 2752 3939
10743 6588 11158
13602 8891 10843
23573 21637 21145
23860 4192 11800
28685 1310 13547
28332 12327 776
3869 28173 15533
17557 26871 28394
28704 1553 22587
6057 3062 15603
18221 19955 19789
11748 7197 8273
15758 27433 27763
25855 4869 2949
9728 5169 1629
29056 1621 17310
20771 2961 24250
21002 882 23494
25200 9960 29368
5093 5994 29020
9147 23173 19287
17316 28133 7525
5551 12527 17994
27487 20908 13398
17632 26531 19818
539 14755 18549
9151 26585 5554
21469 1802 22352
18101 3277 29744
29055 5329 11745
15407 17476 7877
4261 28954 11522
16418 16864 10229
6841 6412 9719
1363 7743 618
5612 27691 12300
1119 15811 28383
25062 26918 27628
18094 17804 15256
947 5202 10806
14162 12030 13390
13384 15696 9675
17022 24691 22581
5386 1927 18546
22719 5357 29063
28812 6406 11060
29800 28529 26156
29228 11498 18126
11989 25034 28335
21196 3662 12126
27156 13041 25564
7566 23221 7607
26034 14486 26433
9123 16645 27337
16378 27187 24222
28378 18997 2650
20316 5268 16337
15767 18916 2966
23921 5655 3609
26845 26868 3009
5917 23888 9132
1250 26212 2420
1200 15410 11673
28466 11029 25733
14213 14805 29565
3363 27022 5156
13304 9048 11470
25299 29067 26903
6020 9884 15121
1941 10212 3197
11414 11456 26224
27906 2853 13667
2148 29291 6474
21420 23923 12333
23726 240 24142
17477 8607 29163
15474 26300 2867
12307 15424 23417
21702 12446 6700
10935 21108 9513
19206 14916 26845
25768 22970 22278
20320 11576 4178
9627 21208 3152
25076 19989 13643
28970 10468 4977
10025 1635 26084
9041 22440 16572
20866 22775 3643
11665 7570 15509
26528 11787 18500
9290 15856 15173
14435 19192 20066
218 28637 29948
21019 26424 13587
20113 8343 19192
29260 26864 21443
22090 21263 25127
17913 12180 28396
11482 10627 21252
1184 9735 26112
24730 28389 6857
584 24563 23350
22654 24768 2757
7909 12279 15827
10324 23380 17932
28069 9276 7253
16689 22395 14258
24114 1104 3849
20794 8655 10284
9013 17013 17053
15980 22356 6325
15642 6666 6731
1078 14772 21960
27678 15528 13059
26893 1211 24859
6471 24835 26602
5204 14898 26817
24356 29646 15668
22548 24630 390
18259 18691 27714
5563 19150 18292
8816 24750 20339
2791 13456 19577
17512 14868 12391
20090 16841 16400
4450 3793 311
1062 12665 1638
10015 1904 12500
5200 169 19758
23749 18140 3130
13507 2121 17008
19086 20107 2519
11591 24549 21624
3947 6405 7670
29356 8588 28749
4930 18305 16870
17944 8947 9094
7220 22676 22524
21933 26292 22801
8444 24338 7430
28130 22654 10517
4398 18538 17536
16587 109 3937
16845 15553 13532
14755 3549 10910
15006 18507 29955
21133 29647 18671
15225 17858 9420
23177 22229 20879
28502 17950 5653
20034 25284 6818
6927 21394 11911
12078 4722 17685
12369 26698 28409
10664 5759 20988
27433 22723 7079
1626 14413 24075
23898 702 16124
17893 6581 14503
13758 11627 2222
5472 13952 11698
2929 9464 6235
19189 29224 6529
23852 6756 6828
14629 7503 8934
1168 11407 5256
25721 20740 15284
14638 3465 2057
3806 14467 15734
8261 15822 19987
5233 10715 13468
6212 19141 22107
15417 10504 27627
29162 29187 542
1766 9645 19575
4971 2059 3068
29228 3741 759
8225 12517 24553
3502 12672 13402
26878 12349 14940
23655 25969 5015
28774 1679 25135
27867 10846 20392
16321 10094 21624
974 2512 17795
24375 10922 12359
23425 13652 19561
1435 6130 3332
22231 9988 23231
1001 11312 13783
24183 3934 21298
10787 2734 28216
27366 26433 16739
7821 6470 7143
13691 1572 28973
27208 361 23623
1103 25744 12374
12332 139 5669
7054 3194 26255
15014 29444 18787
11092 9689 13695
1056 15098 17501
15738 12249 20959
137 18977 6310
5337 4641 21445
16353 5380 10576
20474 5143 22455
26427 9264 26170
26791 13487 5770
23515 27549 22750
9780 5829 18098
26556 21679 12717
6923 16427 16911
22911 15979 29970
23775 22362 23293
20556 14001 12385
1245 9893 1213
9217 970 2310
11776 19192 19588
7837 24278 2744
15725 29707 16909
9013 13617 11971
12973 29119 24446
16561 7765 2048
20763 9289 26658
23466 29334 27449
29145 814 11804
23767 25508 9734
13837 28345 22482
16022 12379 10679
28943 1794 1048
18387 423 10982
13934 2952 14957
7427 8557 28273
5010 26034 3689
19163 22735 13169
23873 15310 27270
28648 13611 11202
26623 7512 6084
29663 19527 20625
5798 208 7567
21330 24504 25888
29386 15276 7833
24166 106 26010
21708 10510 25954
4728 11935 18819
22077 28039 4417
4399 7354 28110
15259 8833 6418
10870 5050 3806
29828 24734 10645
12946 18718 311
29511 1970 13090
17549 13150 25838
26974 25881 19351
18183 13743 4459
5600 8225 25658
3861 27436 11102
2099 10440 4602
10611 27692 12819
17305 16636 3816
27605 25695 3276
26280 9021 23758
22286 25328 3394
14616 22624 29677
18379 21833 3467
19097 3772 5914
15453 3495 24413
12066 21424 26399
29447 21243 15919
19133 7355 16198
14983 16661 4334
3017 1898 18437
3761 7699 23969
23343 27615 13184
18200 7444 19305
9268 2251 24018
13849 21300 10787
20066 5894 7003
22730 2523 24989
18355 10198 10214
3521 15491 25179
26543 7291 18482
28448 232 3972
5712 29672 8543
11938 897 15165
8398 858 11775
8160 13936 7086
16290 24679 369
18515 9491 2393
7538 1410 11652
19938 18610 22329
6847 22026 24664
3434 20463 24171
18246 24908 6502
6406 25421 1134
3948 27339 4847
26606 9773 11754
26223 14792 22685
11967 12217 14669
12433 26136 15689
14363 13375 19891
15221 9750 25663
22215 5090 18864
7373 15068 24760
4776 12180 21490
26896 12189 15325
9479 29842 14054
19664 6211 10552
20941 8567 22682
16501 28484 3505
26937 12383 14757
14442 20284 20047
5854 3258 5865
29517 993 26007
368 4124 14770
9492 5647 8169
13710 2742 21078
21192 7879 16274
3159 14729 12085
11407 23537 8403
4029 811 15209
13801 11956 7650
3487 8018 22529
22920 29617 16436
6974 2409 23180
13726 12707 29829
10862 21153 19421
29236 5807 15776
22213 2921 6801
25890 28500 24236
25227 3115 26541
6109 15554 28664
16424 22737 12607
22000 27738 5275
10004 19269 7045
1051 14660 8226
96 8823 18100
2963 3090 27503
7882 10872 22514
29052 10280 13903
270 16036 7572
8559 28581 14610
28199 4282 11379
13179 4852 23141
25261 19107 9180
16599 27807 17578
29223 24218 21400
5474 25728 28165
12417 12686 18402
16419 25053 26807
2430 23787 22251
17272 27643 15602
27211 15300 14088
26502 9687 25768
28960 12899 19679
25960 10308 3781
19187 18383 11119
13963 27387 9622
2582 14614 27
11190 5053 10339
26237 17582 24961
2024 7611 2931
9091 27387 14577
15680 24397 25389
7653 20033 4699
19810 14699 27768
14967 15115 7450
4667 2938 443
7528 25842 13424
411 25382 2633
15970 7783 26248
26660 5878 18694
13771 14501 11925
29969 3171 3861
8015 28456 7892
10285 8977 19274
18748 8080 10133
21021 7404 11374
22421 12397 29204
2865 10318 11817
7432 3226 10566
5592 14087 26630
19448 5407 29955
29671 5876 8575
13324 12332 17943
24475 19049 23037
11299 17978 27134
21030 24107 25238
16205 21388 11404
26038 28138 6872
17370 2983 27621
28893 11066 19436
28298 5361 2644
1269 17229 15878
21662 23401 15444
8634 23768 14645
27177 7801 3419
3936 24914 5825
19 13532 17280
6268 28226 27039
23049 24665 27359
11329 3272 13856
4022 26880 27360
9337 3290 12881
15770 10617 2539
9180 10558 1235
22933 23302 9045
8847 169 14066
7971 17321 15749
4547 19990 28785
28368 22587 881
19166 10962 27018
8248 4286 7443
15321 24882 6707
18145 9327 7719
2862 20710 19258
27221 11679 9456
22297 8492 28931
8261 9453 7107
12834 22494 5911
22089 20225 18326
1200 13212 11173
7719 10564 5616
2464 21098 17502
15188 29859 18452
8777 5028 10700
26532 28117 24923
21576 22132 21493
27771 17423 28002
24325 23030 9985
9563 946 18121
8197 10765 2718
6236 3393 25906
27983 26887 12433
26422 10226 11853
9195 17862 3087
25569 22483 24996
8749 6142 23390
26908 13872 20518
26879 25466 7524
7368 17428 20006
14006 6627 3716
10893 27798 28999
12583 2818 28245
9611 8174 6660
9390 7586 26104
29294 25494 22025
6573 10150 9669
6250 24036 19967
26604 10398 11237
8681 23255 8379
4683 11724 2486
17358 25214 1835
19940 8931 29450
7465 2165 10749
23760 29986 27988
151 26986 20715
19292 483 704
21078 18562 25105
23895 26055 26628
11062 323 7353
13229 24943 19098
16468 24886 11955
3164 1619 12483
29946 29102 8191
16227 2846 1010
11203 21231 15430
20777 1177 28117
12873 10478 23092
26880 19494 15893
23012 15811 25378
10824 24827 3681
16622 300 17329
2637 21017 24143
15826 3959 26415
7070 17005 7620
762 11897 24683
20271 15568 23374
20254 17692 9915
16804 16025 26198
21180 21729 10505
16003 5255 19011
9854 25512 20258
9251 13056 24911
23836 162 14572
29136 4461 16415
12044 7342 24836
211 21875 17535
17342 22692 9466
8141 18661 6680
22884 5236 13381
4079 27318 8415
23879 10031 28851
4989 2230 11678
13783 25736 1231
17764 23634 12994
26143 21148 7085
3985 216 3438
24120 28654 658
27618 755 16496
11623 25535 17044
5607 7272 18008
19505 3136 298
16381 21375 29299
538 21658 29766
20647 3730 15250
15719 9677 6692
11054 14768 17537
4799 27783 24030
7889 5230 24135
25070 25949 11200
8619 20148 10377
837 12254 10363
6736 4802 8025
20341 22662 16010
1389 1277 20775
15262 1829 20489
5770 19796 3581
16059 29057 4317
19293 24103 18887
11435 6606 16420
11396 10523 29499
10274 9262 3685
29043 12558 13871
13516 1861 3676
15169 20496 7955
17566 16774 18800
16477 4183 26129
9667 28952 29368
191 367 17987
16205 7457 2522
12599 6733 6760
12997 3305 1509
26748 17495 10784
27522 5380 28213
10537 14053 9270
20878 18930 13561
1162 4978 805
15951 11164 375
15090 26495 14198
9688 1378 8924
7090 14002 728
28518 13671 4712
5139 28546 14264
23685 11614 25835
24950 27175 11368
19315 21352 17348
9216 8801 10969
15523 27718 3419
18924 12343 7300
25441 14009 27864
14947 539 19916
24716 2534 2166
19618 15439 6698
5115 1122 23865
9163 19616 3529
17963 19788 10655
21166 27232 2368
22782 29752 28599
21931 25233 16180
5299 25361 25128
28631 996 24039
23508 2596 2798
13523 21392 26435
18834 8181 19392
19352 20567 24737
15602 11091 14262
3902 1861 17091
25716 501 17318
15689 18596 13081
29030 24885 6793
5950 20396 29426
7409 22737 19669
26971 21223 10397
25911 9491 13566
16417 16875 6487
5140 20693 19521
7364 26485 12161
9017 4146 4781
11972 16908 16063
26866 23022 10297
15219 14188 9441
5687 9051 20252
4493 10430 12199
24675 19253 26373
9591 29542 3154
6771 11301 13374
14467 13777 11045
2799 25667 17380
22025 8620 17030
28458 27562 28580
28069 25900 21520
25170 17275 15519
20227 16944 5766
3821 23511 29306
4625 6230 4218
29089 1005 7984
13791 9213 6040
28381 20558 2218
458 1344 25896
8507 21129 4795
3903 9231 22714
23527 4042 19385
11008 4731 11081
8531 21833 1561
7616 25591 22093
13653 24510 19122
29064 5790 23827
24799 8230 26717
6926 1245 2592
395 28498 16454
15312 18452 7646
19387 4818 5915
18759 17543 14579
16534 7017 15961
11191 11261 4141
24346 1210 17109
25734 18788 9469
17692 23058 17554
16062 5925 6883
19575 9198 24108
3225 10889 13698
14019 2152 21933
18630 18179 3859
14681 27391 25038
20238 19282 15253
25487 14407 19126
1577 27341 27828
18399 26198 4046
3076 9458 14186
17610 15677 17501
714 22224 26123
3765 27860 5191
22828 20603 28958
14405 9029 14607
25582 6986 17365
21224 23797 7408
28667 5154 25859
5109 7650 18385
4711 15540 1502
7659 11237 11940
17601 994 12227
20770 5787 904
5180 4395 27582
11037 1375 7981
10421 21409 12864
9664 29272 19282
13398 24595 21913
19583 15697 13994
8762 24160 10731
5616 9521 2027
21371 17417 29880
13339 27948 16880
4703 11445 29715
10901 399 25003
9590 16739 29427
28428 20260 25291
4497 19797 12615
11970 1626 7822
4860 311 10428
11967 20559 744
17794 18734 20015
29866 6720 15729
2854 11386 26778
16545 22881 5583
28187 28987 8852
16030 29554 11162
1678 26751 11615
9357 14619 17878
8902 20077 13587
6035 16973 26049
3801 13118 17773
20464 22438 23975
10534 19964 5395
2102 24624 12536
1010 25667 19620
5869 4137 20427
17662 15992 5234
10258 17081 23504
19367 7803 11100
7199 5775 21367
19911 26264 24284
8035 9804 25390
18954 19398 26949
19637 9245 21911
13408 12357 10993
5490 17945 24763
18875 384 25883
12873 29432 15947
4682 3503 27210
6570 29699 24879
28180 1617 483
27354 3603 9470
27053 17564 16215
3985 17049 9852
29832 16212 1115
25165 11778 12294
19436 15500 1546
18432 248 13543
27048 4163 11144
24473 10944 24
11921 3775 2671
4309 17414 14701
24325 23264 1011
19812 26746 27315
20680 7621 14443
2331 13143 16408
5860 4260 18278
13830 5269 10939
6641 14245 16923
26730 15910 22873
17844 1218 27120
22373 14775 27980
15030 26896 4047
11262 23662 5040
29322 7099 15315
17712 2962 7440
4281 17421 5412
615 28129 9157
19822 9224 27449
758 24604 14684
10434 27495 10274
16649 10966 206
8675 8234 22692
24439 28006 22047
